대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,강도,서울특별시,1172,956,848,976,1145,1070,1389,1903,2123,2815,1656,1475,1200,1074,950,1506,1029
형법범,강력범,강도,부산광역시,419,264,270,336,506,491,523,431,391,516,418,343,456,354,492,875,486
형법범,강력범,강도,대구광역시,252,166,204,232,335,280,206,255,272,274,252,244,207,212,216,256,182
형법범,강력범,강도,인천광역시,385,220,315,388,389,279,329,252,330,306,331,299,237,291,274,367,304
형법범,강력범,강도,광주광역시,163,178,151,293,302,202,218,226,234,284,251,167,147,165,109,129,152
형법범,강력범,강도,대전광역시,133,117,103,153,288,354,300,335,327,428,248,256,263,162,439,311,158
형법범,강력범,강도,울산광역시,96,93,98,149,103,126,157,108,104,124,142,107,99,174,136,143,88
형법범,강력범,강도,부천시,142,72,81,81,105,98,122,98,106,123,144,138,132,138,156,197,97
형법범,강력범,강도,수원시,177,145,139,161,149,115,178,210,182,227,203,159,156,109,131,231,103
형법범,강력범,강도,성남시,78,45,58,97,120,128,134,107,93,78,248,80,119,65,67,154,88
형법범,강력범,강도,전주시,46,43,51,44,65,62,42,36,27,37,64,91,52,62,53,48,48
